student,school,time,message
2,IOE00043,76,"Walk to Welwyn Garden City, Boundary Lane THEN 301 bus to Hatfield (Herts), Hatfield Railway Station THEN Walk to Hatfield (Herts) Rail Station THEN Thameslink to Finsbury Park THEN Walk to Finsbury Park THEN 4 bus to Chester Road (N19) THEN C11 bus to William Ellis School THEN Walk to 1 Gilden Crescent, Kentish Town"
2,IOE00044,62,"Walk to Welwyn Garden City, Boundary Lane THEN 301 bus to Hatfield (Herts), Hatfield Railway Station THEN Walk to Hatfield (Herts) Rail Station THEN Thameslink to London St Pancras International THEN Walk to 123 Chalton Street, Camden"
2,IOE00045,70,"Walk to Welwyn Garden City, Boundary Lane THEN 301 bus to St Albans, St Albans City Railway Station THEN Walk to St Albans City Rail Station THEN Thameslink to Cricklewood THEN C11 bus to Hampstead School THEN Walk to 9999 Gilden Crescent, Kentish Town"
2,IOE00046,59,"Walk to Welwyn Garden City, Boundary Lane THEN 301 bus to Hatfield (Herts), Hatfield Railway Station THEN Walk to Hatfield (Herts) Rail Station THEN Thameslink to Finsbury Park THEN Walk to Finsbury Park THEN 4 bus to Acland Burghley School THEN Walk to 12 Dartmouth Park Hill, Holloway"
2,IOE00081,99,"Walk to Welwyn Garden City, Boundary Lane THEN 301 bus to Hatfield (Herts), Hatfield Railway Station THEN Walk to Hatfield (Herts) Rail Station THEN Thameslink to Farringdon THEN Elizabeth line to Woolwich Station THEN Walk to Woolwich Arsenal Station THEN 53 bus to Heavitree Road THEN Walk to 1 Old Mill Road, Plumstead"
2,IOE00128,75,"Walk to Welwyn Garden City, Boundary Lane THEN 724 bus to Hatfield (Herts), Hatfield Railway Station THEN Walk to Hatfield (Herts) Rail Station THEN Great Northern to Old Street THEN 55 bus to Queensbridge Road THEN Walk to 1 Thurtle Road, Bethnal Green"
2,IOE00131,71,"Walk to Welwyn Garden City, Boundary Lane THEN 301 bus to Hatfield (Herts), Hatfield Railway Station THEN Walk to Hatfield (Herts) Rail Station THEN Thameslink to Finsbury Park THEN Great Northern to Highbury & Islington THEN London Overground to Hackney Central Rail Station THEN 55 bus to Hackney Town Hall THEN Walk to 9999 Frampton Park Road, Hackney"
2,IOE00166,88,"Walk to Welwyn Garden City, Boundary Lane THEN 301 bus to Hatfield (Herts), Hatfield Railway Station THEN Walk to Hatfield (Herts) Rail Station THEN Thameslink to Finsbury Park THEN Walk to Finsbury Park THEN Victoria line to Victoria THEN District line to Barons Court THEN Walk to 37 St Dunstans Road, Hammersmith"
2,IOE00172,92,"Walk to Welwyn Garden City, Boundary Lane THEN 724 bus to Hatfield (Herts), Hatfield Railway Station THEN Walk to Hatfield (Herts) Rail Station THEN Great Northern to Highbury & Islington THEN Victoria line to Victoria THEN District line to Parsons Green THEN Walk to 9 Parsons Green, Fulham"
2,IOE00218,75,"Walk to Welwyn Garden City, Boundary Lane THEN 301 bus to Hatfield (Herts), Hatfield Railway Station THEN Walk to Hatfield (Herts) Rail Station THEN Thameslink to Finsbury Park THEN Walk to Finsbury Park THEN 4 bus to Archway Station THEN W5 bus to Cromwell Avenue (N6) THEN Walk to 1 Gilden Crescent, Kentish Town"
2,IOE00223,58,"Walk to Welwyn Garden City, Boundary Lane THEN 301 bus to Hatfield (Herts), Hatfield Railway Station THEN Walk to Hatfield (Herts) Rail Station THEN Thameslink to Finsbury Park THEN Walk to Finsbury Park Bus Station THEN W3 bus to Tollington Park THEN Walk to 9999 Turle Road, Finsbury Park"
2,IOE00276,113,"Walk to Welwyn Garden City, Boundary Lane THEN 301 bus to Hatfield (Herts), Hatfield Railway Station THEN Walk to Hatfield (Herts) Rail Station THEN Great Northern to Finsbury Park THEN Walk to Finsbury Park THEN Victoria line to Stockwell THEN Northern line to Balham THEN Walk to Balham Rail Station THEN Southern to Streatham Common THEN 60 bus to Braeside Road THEN Walk to 100 Woodmansterne Road, Streatham"
